hymn_num,title,filename,topic,verse_count,estimated_pages
1,Prijst de Heer met blijde galmen,001_Prijst_de_Heer_met_blijde_galmen.pdf,Eere- en Lofzangen,4,2
2,"Grote God, U loven wij",002_Grote_God_U_loven_wij.pdf,Eere- en Lofzangen,3,2
3,"Buigt, volken, voor Jehova's troon",003_Buigt_volken_voor_Jehovas_troon.pdf,Eere- en Lofzangen,3,1
4,"Ontwaak, mijn hart",004_Ontwaak_mijn_hart.pdf,Eere- en Lofzangen,3,1
5,Des aardrijks schoon,005_Des_aardrijks_schoon.pdf,Eere- en Lofzangen,4,2
6,"U, o Heer, God, die allen liefheeft",006_U_o_Heer_God_die_allen_liefheeft.pdf,Eere- en Lofzangen,3,2
7,Zingt nu blij te moê,007_Zingt_nu_blij_te_moe.pdf,Eere- en Lofzangen,2,1
8,"Het hemelruim, d' azuren boog",008_Het_hemelruim_d_azuren_boog.pdf,Eere- en Lofzangen,2,2
9,Laat ieder 's Heren goedheid loven,009_Laat_ieder_s_Heren_goedheid_loven.pdf,Eere- en Lofzangen,4,2
10,'k Zal met mijn ganse hart Uw eer,010_k_Zal_met_mijn_ganse_hart_Uw_eer.pdf,Eere- en Lofzangen,2,2
11,Alles wat adem heeft,011_Alles_wat_adem_heeft.pdf,Eere- en Lofzangen,2,1
12,"Heilig, heilig, heilig, Heer God",012_Heilig_heilig_heilig_Heer_God.pdf,Eere- en Lofzangen,2,1
13,"Prijs, mijn ziel, der heem'len Koning",013_Prijs_mijn_ziel_der_heemlen_Koning.pdf,Eere- en Lofzangen,3,2
14,Maar 't vrome volk in U verheugd,014_Maar_t_vrome_volk_in_U_verheugd.pdf,Eere- en Lofzangen,1,1
15,"Verlosser, Vriend! o hoop, o lust",015_Verlosser_Vriend_o_hoop_o_lust.pdf,Eere- en Lofzangen,1,1
16,Dierb're Heer Jezus,016_Dierbre_Heer_Jezus.pdf,Eere- en Lofzangen,2,1
17,"Hoor, tienduizend harpenaren",017_Hoor_tienduizend_harpenaren.pdf,Eere- en Lofzangen,2,2
18,"Van eeuwigheid zijt Gij, o Heer",018_Van_eeuwigheid_zijt_Gij_o_Heer.pdf,Eere- en Lofzangen,2,1
19,"Looft, looft nu aller Heren Heer",019_Looft_looft_nu_aller_Heren_Heer.pdf,Eere- en Lofzangen,2,1
20,"Komt, laat ons samen Isrels Heer",020_Komt_laat_ons_samen_Isrels_Heer.pdf,Eere- en Lofzangen,1,1
21,"Komt, zingen wij van 's Heren",021_Komt_zingen_wij_van_s_Heren.pdf,Eere- en Lofzangen,2,2
22,Mijn Schepper en mijn God,022_Mijn_Schepper_en_mijn_God.pdf,Eere- en Lofzangen,3,2
23,"Komt, dienaars van de Heer",023_Komt_dienaars_van_de_Heer.pdf,Eere- en Lofzangen,2,1
24,"Looft, looft, verheugd de Heer",024_Looft_looft_verheugd_de_Heer.pdf,Eere- en Lofzangen,2,1
25,Hallelujah! lofgezongen,025_Hallelujah_lofgezongen.pdf,Eere- en Lofzangen,1,1
